# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11615
#@/user_id	0ba0088c-26ad-4165-b815-edfac2094e5f
a 	啊	c=33 d=1.71352 t=11615
dan bei zhi 	單杯指	c=1 d=1.7928e-15 t=11615
dan ceng 	單層	c=0 d=2.91985e-19 t=11615
dan ceng luo xuan 	單層螺旋	c=1 d=2.93448e-18 t=11615
dan chun 	單純	c=3 d=0.565525 t=11615
dan dang 	但當	c=1 d=1.19844e-12 t=11615
dan dao 	膽道	c=2 d=2.65822e-12 t=11615
dan du 	單獨	c=2 d=0.000699601 t=11615
dan fu 	單幅	c=1 d=2.09409e-19 t=11615
dan fu 	擔負	c=1 d=1.9623e-19 t=11615
dan guan 	膽管	c=2 d=5.63625e-12 t=11615
dan he 	單核	c=1 d=0.000978001 t=11615
dan hong su 	膽紅素	c=16 d=2.67722e-10 t=11615
dan nang 	膽囊	c=1 d=1.43577e-20 t=11615
dan niao yuan 	膽尿原	c=1 d=6.25534e-11 t=11615
dan shi 	但是	c=2 d=5.01177e-11 t=11615
dan su 	膽素	c=1 d=6.31821e-11 t=11615
dan wei 	單位	c=3 d=8.01836e-14 t=11615
dan wei shi jian 	單位時間	c=2 d=8.96675e-13 t=11615
dan wei shi jian nei 	單位時間內	c=1 d=3.50295e-13 t=11615
dan wei wei 	單位爲	c=1 d=2.50018e-16 t=11615
dan xiang 	單項	c=1 d=3.03901e-18 t=11615
dan xiao 	膽小	c=0 d=1.35801e-13 t=11615
dan xiao guan 	膽小管	c=1 d=1.36482e-12 t=11615
dan ye 	但也	c=0 d=3.99198e-22 t=11615
dan ye ke 	但也可	c=1 d=4.01199e-21 t=11615
dan yi 	單一	c=1 d=6.41697e-17 t=11615
dan yin 	單音	c=1 d=0.00271219 t=11615
dan yuan 	膽原	c=2 d=2.12853e-11 t=11615
dan zai 	但在	c=1 d=1.30139e-11 t=11615
dan zhi 	膽汁	c=9 d=1.21498e-11 t=11615
dan zhi liu liang 	膽汁流量	c=1 d=1.77128e-20 t=11615
dan zhi pai xie 	膽汁排泄	c=1 d=1.28621e-20 t=11615
dan zhi suan 	膽汁酸	c=2 d=9.58096e-11 t=11615
dang 	當	c=9 d=0.0692778 t=11615
dang qian 	當前	c=1 d=5.24841e-05 t=11615
dang xin 	當心	c=0 d=1.25058e-14 t=11615
dang xin zang 	當心髒	c=1 d=1.25685e-13 t=11615
dao 	到	c=7 d=0.59807 t=11615
dao 	道	c=0 d=1.01843e-10 t=11615
dao chu 	導出	c=1 d=1.96979e-05 t=11615
dao ge 	刀割	c=1 d=0.621885 t=11615
dao guan 	導管	c=0 d=4.42023e-15 t=11615
dao lian 	導聯	c=1 d=2.85221e-07 t=11615
dao ru 	導入	c=1 d=1 t=11595
dao zhi 	倒置	c=1 d=1.28468e-06 t=11615
dao zhi 	導致	c=18 d=0.423509 t=11615
de 	得	c=1 d=0.178173 t=11615
de 	德	c=1 d=1.62108e-07 t=11615
de 	的	c=463 d=10.4607 t=11615
de da sa da shi da sa da da sa da shi da sa da de 	的搭撒打時搭撒打搭撒打時搭撒打的	c=1 d=0.0137049 t=11615
de dao 	得到	c=1 d=2.56391e-18 t=11615
de sa dan sa dan 	的撒旦撒旦	c=2 d=6.25109e-05 t=11615
de sa dan sa dan sa dan 	的撒旦撒旦撒旦	c=1 d=3.04325e-05 t=11615
deng 	等	c=44 d=0.915138 t=11615
deng dian dian 	等電點	c=2 d=1.03598e-14 t=11615
deng dian wei 	等電位	c=1 d=2.9835e-07 t=11615
deng ji 	等級	c=1 d=2.66854e-18 t=11615
deng ji bing 	等疾病	c=1 d=8.49338e-21 t=11615
deng ji shu 	等技術	c=1 d=6.41807e-19 t=11615
deng yu 	等於	c=2 d=0.0214936 t=11615
di 	低	c=8 d=0.622774 t=11615
di 	地	c=4 d=0.0953692 t=11615
di 	底	c=1 d=2.78132e-05 t=11615
di 	第	c=5 d=0.0017934 t=11615
di bu 	底部	c=1 d=2.3352e-07 t=11615
di dian ya 	低電壓	c=2 d=1.573e-06 t=11615
di er 	第二	c=7 d=0.00172741 t=11615
di er ge 	第二個	c=2 d=6.84711e-05 t=11615
di er ji 	第二級	c=1 d=3.66169e-05 t=11615
di er lei jian 	第二肋間	c=3 d=0.00106477 t=11615
di er qi 	第二期	c=1 d=6.72627e-12 t=11615
di er xin yin 	第二心音	c=1 d=0.00264522 t=11615
di gao xin 	地高辛	c=3 d=5.21239e-08 t=11615
di gui 	遞歸	c=1 d=6.44256e-05 t=11615
di guo 	帝國	c=1 d=1.47392e-05 t=11615
di jian 	遞減	c=0 d=3.80453e-15 t=11615
di jian xing 	遞減型	c=1 d=3.8236e-14 t=11615
di lian 	低廉	c=1 d=2.19047e-19 t=11615
di mi du 	低密度	c=4 d=1.02126e-12 t=11615
di ping 	低平	c=1 d=1.27827e-06 t=11615
di ping 	地平	c=1 d=5.00537e-06 t=11615
di san 	第三	c=3 d=0.000221425 t=11615
di san dai 	第三代	c=0 d=2.72625e-06 t=11615
di san dai sa dan sa dan 	第三代撒旦撒旦	c=1 d=2.73991e-05 t=11615
di san ge 	第三個	c=2 d=3.53575e-05 t=11615
di san ji 	第三級	c=1 d=3.71703e-05 t=11615
di san lei jian 	第三肋間	c=2 d=0.00233501 t=11615
di san qi 	第三期	c=1 d=6.82793e-12 t=11615
di sheng 	低聲	c=0 d=8.99224e-17 t=11615
di sheng su 	低聲速	c=1 d=9.03731e-16 t=11615
di si 	第四	c=3 d=0.00125643 t=11615
di si qi 	第四期	c=1 d=6.93112e-12 t=11615
di xia 	地下	c=1 d=8.93978e-06 t=11615
di xue tang 	低血糖	c=1 d=4.46161e-06 t=11615
di xue ya 	低血壓	c=2 d=0.000385874 t=11615
di yi 	第一	c=6 d=0.00478501 t=11615
di yi ge 	第一個	c=2 d=3.31324e-05 t=11615
di yi qi 	第一期	c=1 d=6.62613e-12 t=11615
di yi zhang 	第一章	c=1 d=3.10473e-05 t=11615
di yu 	低於	c=4 d=0.00307746 t=11615
dia 	嗲	c=1 d=0.000209665 t=11615
dian 	碘	c=2 d=9.92759e-18 t=11615
dian 	電	c=1 d=3.13646e-07 t=11615
dian 	點	c=1 d=3.94416e-16 t=11615
dian fen yang 	澱粉樣	c=0 d=1.19514e-10 t=11615
dian fen yang bian 	澱粉樣變	c=1 d=1.20113e-09 t=11615
dian wei 	電位	c=0 d=2.96862e-08 t=11615
dian xing 	典型	c=5 d=0.861782 t=11615
dian yong 	電泳	c=4 d=1.61893e-10 t=11615
dian zhou 	電軸	c=1 d=0.0692522 t=11615
diao wang 	凋亡	c=1 d=2.30082e-09 t=11615
diao yong 	調用	c=1 d=3.31324e-05 t=11615
die die 	爹爹	c=1 d=0.00128115 t=11615
die jia 	疊加	c=1 d=2.16308e-18 t=11615
ding 	定	c=4 d=0.882885 t=11615
ding chun 	丁醇	c=1 d=0.390628 t=11615
ding yi 	定義	c=26 d=0.367055 t=11615
ding zhi 	定植	c=1 d=0.000623601 t=11615
dong 	凍	c=1 d=0.000147011 t=11615
dong 	動	c=7 d=0.000401036 t=11615
dong a 	東阿	c=1 d=2.32996e-10 t=11615
dong da 	東大	c=2 d=3.34653e-05 t=11615
dong jing 	動靜	c=0 d=5.48047e-15 t=11615
dong jing mai lou 	動靜脈瘺	c=1 d=5.50794e-14 t=11615
dong li 	動力	c=1 d=2.57916e-20 t=11615
dong li xue 	動力學	c=6 d=9.80866e-09 t=11615
dong mai 	動脈	c=4 d=0.00832716 t=11615
dong mai dao guan 	動脈導管	c=2 d=9.92283e-14 t=11615
dong mai liu 	動脈瘤	c=1 d=2.74178e-13 t=11615
dong mai qi 	動脈期	c=1 d=5.82135e-18 t=11615
dong mai qu 	動脈區	c=1 d=3.61898e-14 t=11615
dong mai xi tong 	動脈系統	c=1 d=7.62576e-18 t=11615
dong tai 	動態	c=4 d=0.120129 t=11615
dong xi 	東西	c=2 d=0.0114271 t=11615
dong zuo 	動作	c=1 d=1.94046e-05 t=11615
dou 	都	c=6 d=1.69687e-05 t=11615
dou fang jie 	竇房結	c=1 d=8.85082e-06 t=11615
dou hen 	都很	c=1 d=0.0112206 t=11615
dou neng 	都能	c=1 d=6.29205e-21 t=11615
dou shi 	都是	c=1 d=4.85826e-08 t=11615
dou xing 	竇性	c=5 d=0.00238581 t=11615
dou ying 	都應	c=1 d=0.0587185 t=11615
dou yu 	鬥魚	c=2 d=3.60961e-05 t=11615
du 	度	c=2 d=0.0434998 t=11615
du 	毒	c=1 d=0.0948935 t=11615
du 	讀	c=1 d=3.31719e-19 t=11615
du bo 	讀博	c=1 d=1.70391e-05 t=11615
du li 	毒力	c=1 d=0.00067217 t=11615
du li 	獨立	c=0 d=1.30565e-21 t=11615
du qu 	讀取	c=1 d=0.000201444 t=11615
du te 	獨特	c=1 d=0.366045 t=11615
du xing 	毒性	c=4 d=3.45674e-11 t=11615
duan 	段	c=6 d=0.0023803 t=11615
duan 	短	c=1 d=6.54438e-13 t=11615
duan 	端	c=2 d=2.4338e-14 t=11615
duan ceng 	斷層	c=1 d=1.16061e-17 t=11615
duan chu 	短絀	c=3 d=0.00275462 t=11615
duan cu 	短促	c=1 d=9.12658e-14 t=11615
duan kou 	端口	c=1 d=0.0728029 t=11615
duan lian 	鍛鍊	c=1 d=3.9272e-05 t=11615
duan lie 	斷裂	c=1 d=2.63974e-08 t=11615
duan ya 	斷崖	c=1 d=5.43536e-05 t=11615
duan zhou 	短軸	c=1 d=1.02159e-16 t=11615
duan zuo 	端坐	c=1 d=8.58482e-08 t=11615
duan zuo hu xi 	端坐呼吸	c=1 d=8.19149e-07 t=11615
dui 	對	c=21 d=0.446476 t=11615
dui bi 	對比	c=6 d=1.95478e-17 t=11615
dui bi cheng 	對比呈	c=1 d=1.12359e-18 t=11615
dui bi du 	對比度	c=1 d=1.56666e-17 t=11615
dui bi fen bian li 	對比分辨力	c=1 d=1.19885e-16 t=11615
dui bi ji 	對比劑	c=10 d=4.95502e-17 t=11615
dui bu 	對不	c=0 d=1.27806e-05 t=11615
dui bu qi 	對不齊	c=1 d=0.000128446 t=11615
dui xiang 	對象	c=1 d=1.40906e-05 t=11615
dui zheng 	對症	c=1 d=5.1197e-07 t=11615
duo 	多	c=6 d=0.687289 t=11615
duo bu 	多部	c=1 d=0.0473589 t=11615
duo ceng 	多層	c=2 d=9.98864e-18 t=11615
duo ceng mian 	多層面	c=1 d=7.83904e-19 t=11615
duo cheng 	多呈	c=1 d=3.47589e-10 t=11615
duo fa 	多發	c=2 d=0.000989014 t=11615
duo fa sheng 	多發生	c=1 d=0.00486835 t=11615
duo fang wei 	多方位	c=1 d=7.51222e-18 t=11615
duo ge 	多個	c=1 d=1.93078e-05 t=11615
duo guo 	躲過	c=1 d=4.77276e-05 t=11615
duo jian 	多見	c=1 d=0.000754089 t=11615
duo jiao du 	多角度	c=1 d=7.54988e-18 t=11615
duo nang shen 	多囊腎	c=1 d=3.76603e-12 t=11615
duo ping mian 	多平面	c=1 d=7.47476e-18 t=11615
duo pu le 	多普勒	c=5 d=1.82423e-15 t=11615
duo qi 	多期	c=2 d=1.08124e-17 t=11615
duo shi 	多時	c=0 d=1.66813e-21 t=11615
duo shu 	多數	c=1 d=0.0172045 t=11615
duo shu wei 	多數爲	c=1 d=0.172907 t=11615
duo tai 	多肽	c=3 d=2.82437e-14 t=11615
duo wei 	多爲	c=4 d=0.138069 t=11615
duo yang xing 	多樣性	c=1 d=2.6085e-15 t=11615
duo yi 	多以	c=1 d=9.36081e-18 t=11615
duo zai 	多在	c=1 d=1.01826e-07 t=11615
duo zai 	躲在	c=1 d=1.01318e-07 t=11615
duo zhong 	多種	c=3 d=0.0116203 t=11615
e wai 	額外	c=1 d=0.0201897 t=11615
e wai xin yin 	額外心音	c=1 d=0.202909 t=11615
e xing 	惡性	c=2 d=0.0365162 t=11615
e xing zhong liu 	惡性腫瘤	c=2 d=0.039135 t=11615
er 	二	c=5 d=0.00134011 t=11615
er 	而	c=25 d=0.734041 t=11615
er 	耳	c=1 d=0.00367942 t=11615
er hou 	而後	c=1 d=3.56328e-08 t=11615
er jian ban 	二尖瓣	c=8 d=0.00376697 t=11615
er lian 	二聯	c=0 d=3.00519e-05 t=11615
er lian lv 	二聯律	c=1 d=0.000302025 t=11615
er lin suan 	二磷酸	c=1 d=7.91379e-13 t=11615
er pa 	二怕	c=1 d=3.61775e-10 t=11615
er qie 	而且	c=1 d=0.00474815 t=11615
er tong 	兒童	c=2 d=2.97436e-11 t=11615
er tong qi 	兒童期	c=2 d=4.9657e-13 t=11615
er xing 	二型	c=1 d=0.0297478 t=11615
er yang hua tan 	二氧化碳	c=2 d=0.193443 t=11615
er ying xiang 	而影響	c=1 d=8.75204e-21 t=11615
er zai 	而在	c=1 d=3.22583e-14 t=11615
er zhe 	二者	c=1 d=3.5725e-09 t=11615
er zi 	兒子	c=1 d=5.36921e-08 t=11615
fa 	法	c=3 d=1.67359e-18 t=11615
fa 	發	c=1 d=1.09511e-10 t=11615
fa bai 	發白	c=2 d=2.53925e-13 t=11615
fa bing 	發病	c=2 d=0.0211189 t=11615
fa bing kuai 	發病快	c=1 d=0.212248 t=11615
fa bu 	發佈	c=1 d=0.0395575 t=11615
fa chu 	發出	c=1 d=4.03073e-17 t=11615
fa gan 	發紺	c=1 d=0.0181334 t=11615
fa leng 	發冷	c=1 d=3.97693e-06 t=11615
fa li 	乏力	c=4 d=0.00121134 t=11615
fa luo 	法洛	c=1 d=2.25603e-13 t=11615
fa re 	發熱	c=2 d=0.000539399 t=11615
fa san 	發散	c=3 d=2.34508e-15 t=11615
fa sheng 	發生	c=15 d=0.647205 t=11615
fa sheng zai 	發生在	c=1 d=0.199888 t=11615
fa xian 	法線	c=1 d=5.16219e-16 t=11615
fa xian 	發現	c=9 d=0.0613636 t=11615
fa yu 	發育	c=4 d=0.0778127 t=11615
fa zhan 	發展	c=3 d=0.328358 t=11615
fa zuo 	發作	c=2 d=0.0165677 t=11615
fa zuo shi 	發作時	c=1 d=0.0164078 t=11615
fa zuo xing 	發作性	c=1 d=0.0157644 t=11615
fan 	凡	c=1 d=5.34243e-08 t=11615
fan 	反	c=2 d=0.00522135 t=11615
fan bi 	反比	c=2 d=1.35535e-16 t=11615
fan chang 	反常	c=2 d=0.0178634 t=11615
fan fu 	反覆	c=4 d=0.0209729 t=11615
fan hui 	返回	c=1 d=5.90832e-16 t=11615
fan liu 	反流	c=1 d=2.70657e-08 t=11615
fan rong 	繁榮	c=1 d=0.00263203 t=11615
fan she 	反射	c=9 d=8.12959e-07 t=11615
fan she jiao 	反射角	c=1 d=5.24021e-16 t=11615
fan she xing 	反射性	c=1 d=8.17034e-06 t=11615
fan wei 	範圍	c=8 d=0.254107 t=11615
fan ye 	翻頁	c=1 d=0.000113353 t=11615
fan yi 	翻譯	c=1 d=0.394554 t=11615
fan ying 	反應	c=20 d=0.249182 t=11615
fan ying 	反映	c=4 d=2.06846e-16 t=11615
fan ying chu 	反映出	c=1 d=2.23898e-12 t=11615
fan ying sheng cheng 	反應生成	c=1 d=6.41588e-15 t=11615
fan ying xing 	反應性	c=2 d=0.142987 t=11615
fan yu 	梵語	c=1 d=0.0002139 t=11615
fan zao bu an 	煩躁不安	c=1 d=1.2375e-07 t=11615
fan zhi 	反之	c=1 d=7.09427e-21 t=11615
fang 	房	c=3 d=0.920129 t=11615
fang 	放	c=1 d=9.35762e-14 t=11615
fang chan 	房顫	c=3 d=1.44286e-09 t=11615
fang da qi 	放大器	c=1 d=1.28577e-16 t=11615
fang fa 	方法	c=14 d=0.29671 t=11615
fang hu 	防護	c=4 d=6.72068e-18 t=11615
fang mian 	方面	c=1 d=2.71357e-09 t=11615
fang sha 	防沙	c=1 d=4.17004e-05 t=11615
fang she 	放射	c=1 d=1.05453e-07 t=11615
fang shi 	房室	c=9 d=4.5684e-07 t=11615
fang shi 	方式	c=7 d=1.01307 t=11615
fang shi chuan dao 	房室傳導	c=1 d=4.57456e-06 t=11615
fang shi jie 	房室結	c=1 d=1.19824e-10 t=11615
fang shi mo xing 	房室模型	c=1 d=3.69397e-20 t=11615
fang shi zhong 	房室中	c=1 d=4.64923e-20 t=11615
fang su 	房速	c=1 d=4.24546e-10 t=11615
fang wei 	方位	c=1 d=4.99839e-19 t=11615
fang xiang 	方向	c=6 d=0.000804733 t=11615
fang xiang nei 	方向內	c=1 d=1.67188e-17 t=11615
fang xiang shang 	方向上	c=2 d=1.76882e-16 t=11615
fang xiang xing 	方向性	c=1 d=4.20537e-16 t=11615
fang xiang zu 	芳香族	c=1 d=3.99974e-15 t=11615
fang xiang zu an ji suan 	芳香族氨基酸	c=1 d=3.36617e-15 t=11615
fei 	肥	c=3 d=5.93275e-08 t=11615
fei 	肺	c=42 d=2.48582 t=11615
fei 	非	c=16 d=0.878095 t=11615
fei bu 	肺部	c=6 d=0.000380485 t=11615
fei da 	肥大	c=3 d=0.00114473 t=11615
fei da xi bao 	肥大細胞	c=1 d=0.0115047 t=11615
fei de 	飛得	c=1 d=0.955997 t=11615
fei dong mai 	肺動脈	c=12 d=0.062662 t=11615
fei hou 	肥厚	c=7 d=0.00198925 t=11615
fei huo liang 	肺活量	c=1 d=5.30296e-09 t=11615
fei ji xing 	非極性	c=1 d=3.26669e-15 t=11615
fei jie 	肺結	c=1 d=0.189191 t=11615
fei jie he 	肺結核	c=3 d=0.585892 t=11615
fei lei 	匪類	c=1 d=0.307279 t=11615
fei li zi 	非離子	c=1 d=8.77171e-18 t=11615
fei nong zhong 	肺膿腫	c=3 d=0.00164239 t=11615
fei pang 	肥胖	c=0 d=2.18259e-07 t=11615
fei pao 	肺泡	c=3 d=9.42481e-05 t=11615
fei pao xing 	肺泡性	c=1 d=9.32711e-05 t=11615
fei qi zhong 	肺氣腫	c=0 d=0.00405589 t=11615
fei wu 	廢物	c=1 d=0.109154 t=11615
fei xian xing 	非線性	c=0 d=2.72291e-21 t=11615
fei xian xing dong li xue 	非線性動力學	c=2 d=5.96403e-20 t=11615
fei xin bing 	肺心病	c=2 d=0.0293342 t=11615
fei xing 	肺型	c=1 d=0.0590129 t=11615
fei xing yuan 	飛行員	c=1 d=6.52526e-08 t=11615
fei yan 	肺炎	c=19 d=0.00200078 t=11615
fei yong 	費用	c=1 d=2.16868e-19 t=11615
fei zang 	肺臟	c=2 d=4.71252e-09 t=11615
fen 	分	c=7 d=0.00458035 t=11615
fen bian 	分辨	c=3 d=1.50046e-15 t=11615
fen bian 	糞便	c=7 d=0.134377 t=11615
fen bian li 	分辨力	c=20 d=0.000845993 t=11615
fen bian lv 	分辨率	c=3 d=1.40964e-17 t=11615
fen bian lv gao 	分辨率高	c=1 d=1.95251e-19 t=11615
fen bian lve 	分辨略	c=1 d=6.84793e-17 t=11615
fen bie 	分別	c=2 d=0.00369786 t=11615
fen bie qi 	分別起	c=1 d=1.34541e-20 t=11615
fen bu 	分佈	c=18 d=1.64534 t=11615
fen bu dao 	分佈到	c=2 d=0.601426 t=11615
fen bu de 	分佈的	c=2 d=0.786628 t=11615
fen bu liang 	分佈量	c=1 d=0.366045 t=11615
fen bu zai 	分佈在	c=2 d=1.37802e-19 t=11615
fen hong se 	粉紅色	c=1 d=3.30581e-08 t=11615
fen ji 	分級	c=6 d=0.0260681 t=11615
fen jie 	分解	c=4 d=0.0744857 t=11615
fen lei 	分類	c=17 d=0.827153 t=11615
fen li 	分離	c=3 d=0.0111966 t=11615
fen li shi 	分離時	c=1 d=7.45546e-17 t=11615
fen lie 	分裂	c=7 d=0.00977009 t=11615
fen liu 	分流	c=2 d=9.59173e-10 t=11615
fen mi 	分泌	c=4 d=9.93576e-06 t=11615
fen pei 	分配	c=2 d=7.87551e-09 t=11615
fen qu 	分區	c=1 d=0.0614212 t=11615
fen san 	分散	c=1 d=4.14276e-16 t=11615
fen shu 	分數	c=2 d=1.18309e-08 t=11615
fen wei 	分爲	c=7 d=2.87131e-11 t=11615
fen xi 	分析	c=3 d=0.0735345 t=11615
fen xiang 	分享	c=1 d=0.0065062 t=11615
fen zhong 	分鐘	c=2 d=1.92651e-08 t=11615
fen zi 	分子	c=4 d=0.107939 t=11615
fen zi da xiao 	分子大小	c=1 d=0.763379 t=11615
fen zi liang 	分子量	c=1 d=5.6047e-13 t=11615
feng 	峯	c=5 d=0.0204453 t=11615
feng 	風	c=1 d=1.05507e-13 t=11615
feng fu 	豐富	c=2 d=0.290835 t=11615
feng man 	豐滿	c=1 d=0.0014018 t=11615
feng shi xing 	風溼性	c=2 d=2.89123e-10 t=11615
feng xin 	風心	c=1 d=4.04817e-09 t=11615
feng zhi 	峯值	c=2 d=0.024972 t=11615
fo tuo 	佛陀	c=1 d=1.42444e-15 t=11615
fou ze 	否則	c=1 d=0.0495388 t=11615
fu 	拂	c=1 d=0.000278804 t=11615
fu 	氟	c=1 d=0.000280202 t=11615
fu 	負	c=1 d=0.000266536 t=11615
fu ban qu 	覆瓣區	c=1 d=5.22757e-17 t=11615
fu bu 	腹部	c=1 d=0.0397558 t=11615
fu dian 	負電	c=0 d=4.80077e-16 t=11615
fu fa 	復發	c=2 d=1.13998 t=11615
fu fei 	付費	c=1 d=5.96364e-08 t=11615
fu he 	符合	c=1 d=3.77706e-17 t=11615
fu he 	負荷	c=5 d=6.88397e-09 t=11615
fu he guo gao 	負荷過高	c=1 d=3.06851e-14 t=11615
fu he wu 	複合物	c=1 d=4.54618e-21 t=11615
fu jia 	附加	c=1 d=0.167797 t=11615
fu jin 	附近	c=3 d=0.00298248 t=11615
fu le 	服了	c=1 d=2.70703e-10 t=11615
fu mian 	負面	c=1 d=1.47543e-17 t=11615
fu nv 	婦女	c=2 d=1.53104e-05 t=11615
fu qiang 	腹腔	c=0 d=4.10014e-13 t=11615
fu qiang ji ye 	腹腔積液	c=1 d=4.12069e-12 t=11615
fu she 	輻射	c=6 d=4.31599e-16 t=11615
fu shui 	腹水	c=4 d=4.11118e-06 t=11615
fu xing 	負性	c=1 d=0.000528747 t=11615
fu ya 	負壓	c=1 d=0.00447164 t=11615
fu yi 	附議	c=1 d=4.83321e-06 t=11615
fu za 	複雜	c=1 d=3.02962e-11 t=11615
fu zhang 	腹脹	c=1 d=8.52579e-07 t=11615
fu zhi 	複製	c=1 d=7.56041e-05 t=11615
fu zhu 	輔助	c=1 d=0.00150344 t=11615
fu zhuo 	附着	c=1 d=0.0804596 t=11615
gai 	該	c=2 d=5.6445e-08 t=11615
gai ban 	改版	c=1 d=4.89525e-09 t=11615
gai bian 	改變	c=18 d=0.144726 t=11615
gai hua 	鈣化	c=2 d=1.21593e-06 t=11615
gai lv 	概率	c=1 d=1.01913e-17 t=11615
gai nian 	概念	c=5 d=2.97806e-19 t=11615
gai shan 	改善	c=1 d=1.13647e-05 t=11615
gai zhi 	鈣質	c=1 d=5.80138e-07 t=11615
gan 	幹	c=1 d=3.43125e-05 t=11615
gan 	感	c=3 d=0.00176526 t=11615
gan 	肝	c=15 d=0.037914 t=11615
gan 	苷	c=1 d=7.87432e-13 t=11615
gan 	酐	c=9 d=1.34706e-05 t=11615
gan ai 	肝癌	c=2 d=1.20537e-10 t=11615
gan an suan 	甘氨酸	c=1 d=9.38184e-15 t=11615
gan bing 	肝病	c=2 d=1.06915e-10 t=11615
gan da 	肝大	c=1 d=7.19413e-09 t=11615
gan dao 	感到	c=1 d=0.000710174 t=11615
gan gong neng 	肝功能	c=5 d=0.369723 t=11615
gan guang 	感光	c=1 d=1.36222e-19 t=11615
gan jue 	感覺	c=8 d=0.0110331 t=11615
gan jue wo hai shi bu neng 	感覺我還是不能	c=1 d=0.0141931 t=11615
gan jue zhe ge dong xi gen ben jiu mei yong 	感覺這個東西根本就沒用	c=1 d=0.0116786 t=11615
gan jun 	桿菌	c=2 d=0.0002285 t=11615
gan ke 	乾咳	c=2 d=1.24954e-05 t=11615
gan lao 	乾酪	c=2 d=0.518108 t=11615
gan lao xing 	乾酪性	c=1 d=0.245367 t=11615
gan mao 	感冒	c=2 d=0.00287996 t=11615
gan nei 	肝內	c=1 d=2.9038e-12 t=11615
gan ran 	感染	c=18 d=0.277488 t=11615
gan ran xing 	感染性	c=2 d=2.0586e-05 t=11615
gan shen 	肝腎	c=1 d=4.14135e-12 t=11615
gan sun hai 	肝損害	c=1 d=0.380983 t=11615
gan sun shang 	肝損傷	c=4 d=4.61649e-11 t=11615
gan tan 	感嘆	c=2 d=8.90064e-05 t=11615
gan xi bao 	肝細胞	c=6 d=7.71634e-12 t=11615
gan xi bao xing 	肝細胞性	c=1 d=8.78993e-13 t=11615
gan xing 	乾性	c=2 d=0.00573813 t=11615
gan yan 	肝炎	c=11 d=0.332871 t=11615
gan yan bing du 	肝炎病毒	c=1 d=4.56508e-11 t=11615
gan yan shi 	肝炎時	c=1 d=1.29178e-12 t=11615
gan ying hua 	肝硬化	c=2 d=1.37783e-06 t=11615
gan ying hua shi 	肝硬化時	c=1 d=5.71695e-11 t=11615
gan zang 	肝臟	c=11 d=7.23929e-09 t=11615
gan zao 	乾燥	c=0 d=0.0054204 t=11615
gan zhi 	感知	c=0 d=5.79034e-15 t=11615
gang er 	缸兒	c=1 d=6.63064e-20 t=11615
gang men 	肛門	c=2 d=0.0654257 t=11615
gao 	高	c=11 d=0.615697 t=11615
gao de 	高的	c=1 d=0.895834 t=11615
gao di 	高低	c=0 d=5.22757e-18 t=11615
gao du 	高度	c=1 d=4.09874e-08 t=11615
gao duan 	高端	c=0 d=0.000941925 t=11615
gao duan ji 	高端機	c=1 d=0.00946646 t=11615
gao ji 	高級	c=1 d=0.232236 t=11615
gao ju 	高舉	c=1 d=5.73273e-14 t=11615
gao liang 	高亮	c=1 d=6.80682e-05 t=11615
gao mi du 	高密度	c=3 d=1.36814e-17 t=11615
gao na 	高鈉	c=1 d=6.65595e-06 t=11615
gao niao suan 	高尿酸	c=1 d=0.382893 t=11615
gao pai 	高排	c=1 d=8.36204e-10 t=11615
gao pai xing 	高排型	c=1 d=8.59217e-10 t=11615
gao re 	高熱	c=4 d=0.00198802 t=11615
gao wei 	高位	c=4 d=0.000219019 t=11615
gao xue 	膏血	c=0 d=2.66582e-07 t=11615
gao xue jia 	膏血鉀	c=1 d=2.67918e-06 t=11615
gao xue ya 	高血壓	c=14 d=0.159202 t=11615
gao ya 	高壓	c=3 d=0.121837 t=11615
gao ya xing 	高壓性	c=1 d=0.591555 t=11615
gao yu 	高於	c=2 d=0.112478 t=11615
gao zhe 	高者	c=1 d=2.61525e-16 t=11615
gao zhong 	高中	c=2 d=1.01683e-07 t=11615
ge 	個	c=6 d=5.14449e-05 t=11615
ge 	各	c=4 d=0.0521605 t=11615
ge bu wei 	各部位	c=1 d=4.89942e-19 t=11615
ge chu 	各處	c=1 d=4.77764e-17 t=11615
ge ge 	各個	c=1 d=0.00023056 t=11615
ge ji 	膈肌	c=2 d=0.000815476 t=11615
ge ren 	個人	c=1 d=5.84555e-08 t=11615
ge ti 	個體	c=0 d=5.90329e-07 t=11615
ge ti cha yi xing 	個體差異性	c=1 d=5.93288e-06 t=11615
ge zhong 	各種	c=4 d=3.17634e-07 t=11615
ge zhong bu tong 	各種不同	c=1 d=3.15981e-06 t=11615
ge zu zhi 	各組織	c=1 d=0.358796 t=11615
gei yao 	給藥	c=5 d=4.34431e-19 t=11615
gen 	根	c=0 d=0.0117655 t=11615
gen 	跟	c=1 d=6.49271e-08 t=11615
gen ben 	根本	c=1 d=0.0124007 t=11615
gen ben jiu 	根本就	c=0 d=0.00116203 t=11615
gen ju 	根據	c=9 d=0.304221 t=11615
gen ju ce lian 	根據側鏈	c=1 d=3.1386e-15 t=11615
gen jue 	根絕	c=2 d=3.15326e-11 t=11615
geng 	更	c=8 d=2.82222 t=11615
